utc,rss_kib,live,ready,frames,dispatched,dropped,overflows,live_sessions
2026-07-22T06:24:01Z,22544,200,200,9,9,0,0,2
2026-07-22T06:24:31Z,23392,200,200,7037,7032,0,0,2
2026-07-22T06:25:01Z,23360,200,200,12845,12837,0,0,2
2026-07-22T06:25:31Z,23424,200,200,18376,18365,0,0,2
2026-07-22T06:26:01Z,23488,200,200,25047,25033,0,0,2
2026-07-22T06:26:31Z,23488,200,200,31570,31553,0,0,2
2026-07-22T06:27:01Z,23504,200,200,37021,37000,0,0,2
2026-07-22T06:27:31Z,23504,200,200,43304,43281,0,0,2
2026-07-22T06:28:01Z,20528,200,200,48629,48602,0,0,2
2026-07-22T06:28:31Z,20528,200,200,53243,53213,0,0,2
2026-07-22T06:29:01Z,20528,200,200,59751,59718,0,0,2
2026-07-22T06:29:31Z,20528,200,200,63964,63928,0,0,2
2026-07-22T06:30:01Z,20528,200,200,70397,70358,0,0,2
2026-07-22T06:30:31Z,20560,200,200,78058,78016,0,0,2
2026-07-22T06:31:02Z,20560,200,200,85514,85469,0,0,2
2026-07-22T06:31:32Z,20560,200,200,92559,92511,0,0,2
2026-07-22T06:32:02Z,20496,200,200,97379,97328,0,0,2
2026-07-22T06:32:32Z,20496,200,200,101234,101180,0,0,2
2026-07-22T06:33:02Z,20496,200,200,108007,107950,0,0,2
2026-07-22T06:33:32Z,20496,200,200,113056,112996,0,0,2
2026-07-22T06:34:02Z,20496,200,200,116391,116328,0,0,2
2026-07-22T06:34:32Z,20496,200,200,123014,122948,0,0,2
2026-07-22T06:35:02Z,20496,200,200,128059,127990,0,0,2
2026-07-22T06:35:32Z,20496,200,200,132862,132790,0,0,2
2026-07-22T06:36:02Z,20496,200,200,138222,138147,0,0,2
2026-07-22T06:36:32Z,20496,200,200,142876,142798,0,0,2
2026-07-22T06:37:02Z,20528,200,200,146764,146683,0,0,2
2026-07-22T06:37:32Z,20528,200,200,151511,151427,0,0,2
2026-07-22T06:38:03Z,20528,200,200,155013,154926,0,0,2
2026-07-22T06:38:33Z,20304,200,200,160142,160052,0,0,2
2026-07-22T06:39:03Z,20352,200,200,164648,164555,0,0,2
2026-07-22T06:39:33Z,20416,200,200,169339,169243,0,0,2
2026-07-22T06:40:03Z,20448,200,200,173524,173425,0,0,2
2026-07-22T06:40:33Z,20448,200,200,178773,178671,0,0,2
2026-07-22T06:41:03Z,20448,200,200,183183,183078,0,0,2
2026-07-22T06:41:33Z,20480,200,200,186789,186681,0,0,2
2026-07-22T06:42:03Z,20480,200,200,190767,190656,0,0,2
2026-07-22T06:42:33Z,20480,200,200,193756,193642,0,0,2
2026-07-22T06:43:03Z,20448,200,200,197006,196889,0,0,2
2026-07-22T06:43:33Z,20368,200,200,201836,201716,0,0,2
2026-07-22T06:44:03Z,20384,200,200,204303,204180,0,0,2
2026-07-22T06:44:34Z,20384,200,200,210061,209935,0,0,2
2026-07-22T06:45:04Z,20384,200,200,215369,215240,0,0,2
2026-07-22T06:45:34Z,20384,200,200,220799,220667,0,0,2
2026-07-22T06:46:04Z,20384,200,200,224602,224467,0,0,2
2026-07-22T06:46:34Z,20416,200,200,227851,227713,0,0,2
2026-07-22T06:47:04Z,20480,200,200,231422,231281,0,0,2
2026-07-22T06:47:34Z,20480,200,200,238649,238505,0,0,2
2026-07-22T06:48:04Z,20288,200,200,243006,242859,0,0,2
2026-07-22T06:48:34Z,20320,200,200,244832,244682,0,0,2
2026-07-22T06:49:04Z,20320,200,200,248311,248158,0,0,2
2026-07-22T06:49:34Z,20288,200,200,251278,251122,0,0,2
2026-07-22T06:50:04Z,20128,200,200,253993,253834,0,0,2
2026-07-22T06:50:34Z,20160,200,200,260698,260536,0,0,2
2026-07-22T06:51:04Z,20208,200,200,262713,262548,0,0,2
2026-07-22T06:51:35Z,20240,200,200,267463,267295,0,0,2
2026-07-22T06:52:05Z,20256,200,200,269751,269580,0,0,2
2026-07-22T06:52:35Z,20256,200,200,274812,274638,0,0,2
2026-07-22T06:53:05Z,20256,200,200,276833,276656,0,0,2
2026-07-22T06:53:35Z,20240,200,200,280725,280545,0,0,2
2026-07-22T06:54:05Z,20240,200,200,285126,284943,0,0,2
2026-07-22T06:54:35Z,20272,200,200,287088,286902,0,0,2
