utc,rss_kib,live,ready,frames,dispatched,dropped,overflows,live_sessions
2026-07-22T15:14:59Z,10176,200,200,2,3,0,0,1
2026-07-22T15:15:29Z,10272,200,200,2,3,0,0,1
2026-07-22T15:15:59Z,8192,200,200,2,3,0,0,1
2026-07-22T15:16:30Z,8208,200,200,2,3,0,0,1
2026-07-22T15:17:00Z,8240,200,200,2,3,0,0,1
2026-07-22T15:17:30Z,8256,200,200,2,3,0,0,1
2026-07-22T15:18:00Z,8272,200,200,2,3,0,0,1
2026-07-22T15:18:30Z,8272,200,200,2,3,0,0,1
2026-07-22T15:19:00Z,8288,200,200,2,3,0,0,1
2026-07-22T15:19:30Z,8240,200,200,2,3,0,0,1
2026-07-22T15:20:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:20:30Z,8336,200,200,2,3,0,0,1
2026-07-22T15:21:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:21:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:22:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:22:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:23:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:23:30Z,8336,200,200,2,3,0,0,1
2026-07-22T15:24:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:24:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:25:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:25:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:26:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:26:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:27:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:27:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:28:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:28:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:29:00Z,8352,200,200,2,3,0,0,1
2026-07-22T15:29:30Z,8352,200,200,2,3,0,0,1
2026-07-22T15:30:00Z,8384,200,200,2,3,0,0,1
2026-07-22T15:30:30Z,8384,200,200,2,3,0,0,1
2026-07-22T15:31:00Z,8384,200,200,2,3,0,0,1
2026-07-22T15:31:30Z,8384,200,200,2,3,0,0,1
2026-07-22T15:32:00Z,8384,200,200,2,3,0,0,1
2026-07-22T15:32:30Z,8384,200,200,2,3,0,0,1
2026-07-22T15:33:00Z,8400,200,200,2,3,0,0,1
2026-07-22T15:33:30Z,8400,200,200,2,3,0,0,1
2026-07-22T15:34:00Z,8400,200,200,2,3,0,0,1
2026-07-22T15:34:30Z,8432,200,200,2,3,0,0,1
2026-07-22T15:35:00Z,8432,200,200,2,3,0,0,1
2026-07-22T15:35:30Z,8400,200,200,2,3,0,0,1
2026-07-22T15:36:00Z,8400,200,200,2,3,0,0,1
2026-07-22T15:36:30Z,7328,200,200,2,3,0,0,1
2026-07-22T15:37:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:37:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:38:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:38:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:39:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:39:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:40:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:40:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:41:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:41:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:42:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:42:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:43:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:43:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:44:00Z,8320,200,200,2,3,0,0,1
2026-07-22T15:44:30Z,8320,200,200,2,3,0,0,1
2026-07-22T15:44:59Z,8320,200,200,2,3,0,0,1
